material_id,formula_pretty,composition,K_vrh,G_vrh
mp-2661453,Li2H2Pt,Li2 H2 Pt1,49.367,26.895
mp-9912,Li2CeP2,Li2 Ce1 P2,57.891,35.063
mp-861651,Li2PdPb,Li2 Pd1 Pb1,50.293,20.181
mp-4779,Li2B4O7,Li8 B16 O28,41.92,40.743
mp-27705,Li2Si,Li4 Si2,32.884,23.382
mp-866179,Li2NdTl,Li2 Nd1 Tl1,39.457,28.708
mp-5012,Li2SiO3,Li4 Si2 O6,76.805,51.443
mp-4002,Li2ZrF6,Li2 Zr1 F6,58.042,35.314
mp-30816,Li2AlPd,Li2 Al1 Pd1,68.314,29.042
mp-4556,Li2SO4,Li8 S4 O16,45,21.273
mp-7779,Li2NdAs2,Li2 Nd1 As2,44.285,19.862
mp-865666,Li2TlAg,Li2 Tl1 Ag1,32.933,17.026
mp-1185209,Li2ZnSi,Li8 Zn4 Si4,52.049,42.979
mp-22961,Li2ZnCl4,Li4 Zn2 Cl8,31.855,15.897
mp-31441,Li2GaIr,Li2 Ga1 Ir1,95.635,41.728
mp-10525,NaLi2N,Na1 Li2 N1,53.888,-24.612
mp-567389,Li2ZnGe,Li2 Zn1 Ge1,42.925,25.919
mp-567347,Li2AgSn,Li2 Ag1 Sn1,46.665,20.768
mp-865874,Li2AgHg,Li2 Ag1 Hg1,37.398,9.484
mp-15988,Li2CuSb,Li2 Cu1 Sb1,52.716,33.809
mp-2170,Li2Pt,Li2 Pt1,66.968,30.516
mp-30820,Li2AlRh,Li2 Al1 Rh1,80.792,39.204
mp-30758,Li2MgPb,Li2 Mg1 Pb1,36.254,14.747
mp-973343,Li2MgHg,Li2 Mg1 Hg1,30.915,18.917
mp-2987,Li2MgTl,Li2 Mg1 Tl1,27.001,14.225
mp-728,Li2Pd,Li2 Pd1,50.698,21.97
mp-557142,Li2S,Li4 S2,38.36,24.251
mp-752881,Li2CuS2,Li2 Cu1 S2,45.823,16.474
mp-20484,Li2FeCu(CN)6,Li2 Fe1 Cu1 C6 N6,55.127,-37.207
mp-30591,Li2CuSn,Li2 Cu1 Sn1,52.666,30.448
mp-862934,Li2PmTl,Li2 Pm1 Tl1,39.836,30.085
mp-35841,Li2CuGe,Li2 Cu1 Ge1,58.787,40.226
mp-865871,Li2ZnAu,Li2 Zn1 Au1,46.741,4.542
mp-4630,Li2RuO3,Li4 Ru2 O6,109.493,-50.211
mp-865737,Li2InSn,Li2 In1 Sn1,35.36,14.569
mp-570771,BaLi2(MgSi)2,Ba1 Li2 Mg2 Si2,39.487,29.927
mp-1960,Li2O,Li2 O1,78.6,68.452
mp-31324,Li2In,Li4 In2,28.365,23.649
mp-1025473,Li2NdGe,Li4 Nd2 Ge2,43.547,27.258
mp-866194,Li2MgCd,Li2 Mg1 Cd1,28.998,20.86
mp-28250,Li2MnBr4,Li2 Mn1 Br4,19.113,11.927
