material_id,composition,E_f
mp-758140,Li2 Ti2 P8 O24,-2.6839142019576707
mp-768092,Li4 V4 S4 O16 F12,-2.427300164083332
mp-1222405,Li1 Cd3,-0.1088451916666652
mp-760067,Ba4 Li2 V2 P4 O18,-2.949855563341269
mp-1235461,K2 Li1 H2 Se2 O6,-1.446137090001602
mp-1002572,Li4 Mn4 O8,-2.1151625734410926
mp-765470,Li4 Mn4 P4 O16,-2.5715783494153177
mp-8007,Li2 U2 O6,-3.345927270166662
mp-1040138,Li1 Mg30 Si1 O32,-2.9602066636458324
mp-867222,Li1 Ca2 Ir1,-0.2330175466666659
mp-1176649,Li8 Mn8 P8 O32 F8,-2.570967579019652
mp-759018,Li4 Mn8 P12 O48,-2.3402090632291097
mp-758552,Li4 Co4 P4 O16,-2.3176150497108847
mp-26017,Li4 Co4 P4 O16,-2.3975561379251693
mp-1097460,Li1 Sc1 Ag2,1.4623864103645836
mp-1176608,Li1 Nb1 Co3 P6 O24,-2.200399764319728
mp-1176807,Li4 Cr4 P8 O28,-2.5689151436471858
mp-753382,Li2 Mn2 P2 O8,-2.5563958779867457
mp-570379,Cs2 Li1 Lu1 Cl6,-2.4889374539310354
mp-1236197,Li1 Cr4 Hg2 O8,-1.537505418555556
mp-554164,K4 Li4 Zn4 P8 O28,-2.6105038441557533
mp-1176715,Li4 Fe4 S8,-0.9087049589583324
mp-11806,Li1 Mg1 Sn1 Pt1,-0.6584183883333363
mp-752660,Li4 Co4 Si4 O16,-2.322061919047619
mp-756100,Li2 Fe2 F8,-2.746479753888889
mp-1199729,Li18 Mn36 O72,-2.04681966163109
mp-757563,Li24 Co24 P24 O96,-2.270337795187074
mp-777559,Li4 Fe4 F16,-2.8008739638888884
mp-1306952,Li4 Nb4 Fe4 O16,-2.439309671547618
mp-1238802,Li4 Cr8 S16,-1.035212281190475
mp-867272,Li1 Al1 Cu2,-0.221278555833333
mp-1020026,Li2 Be2 B2 O6,-2.8561755325
mp-758141,Li2 Fe2 Si6 O16,-2.812692133333333
mp-1222288,Li1 Zn3,-0.0859334866666641
mp-1185345,Li2 Er6,0.184691144166667
mp-758147,Li4 Cu4 P12 O36,-2.33639741587585
mp-753729,Li1 Mn1 V1 P2 H2 O10,-2.332859977525356
mp-1235493,Li1 Lu1 Zn1 Fe1 O4,-2.33698014625
mp-1094593,Li2 Mg4,-0.0282441188888888
mp-1180222,Na5 Li1 N2,0.1469501619504303
mp-1281247,Li1 Mn4 O8,-1.9246732265428823
mp-1110749,Rb2 Li1 Mo1 I6,-1.1253371198333333
mp-1235170,Li1 La4 Ho4 O12,-3.6346509020634894
mp-772499,Na8 Li4 Mn4 P4 C4 O28,-2.369870101435834
mp-765841,Li4 V8 O12 F4,-2.60766174797619
mp-1078834,Li1 Ru1 F6,-2.309086619583333
mp-1095149,Li2 La2 Bi4,-0.7736783083333334
mp-758620,Li2 Cu4 C6 O18,-1.49210409588889
mp-776094,Li2 Fe2 F8,-2.7586954113888886
mp-860939,Li6 Mn6 P6 O24,-2.564152011320078
mp-1192659,Li2 Ga2 H16 N8,-0.5108783804166676
mp-672966,Li1 Cu1 P4 O12,-2.303322904550264
mp-777371,Li4 Cr8 P12 O48,-2.416596463181216
mp-1106183,Li4 Al4 S8,-1.4759583368229157
mp-766050,Li4 V4 P8 O32,-2.50468816688492
mp-1302676,Li4 V4 P4 O20,-2.5694048588095235
mp-780337,Li4 Cr16 P12 O48,-2.4343938839880943
mp-24610,Li4 P4 H8 O16,-2.192613661934523
mp-774479,Li1 Ca2 Ta3 O10,-3.3084149568958328
mp-766426,Li4 Co4 P8 O28,-2.309635843419913
mp-22983,Li4 Al4 Cl16,-1.832061168194444
mp-1517265,Ba1 Li1 Zr1 Bi1 O6,-2.510085123833333
mp-1113711,Rb2 Li1 Mn1 F6,-2.950219159126437
mp-753940,K1 Li1 Mn1 S2,-1.2306100847028731
mp-1236035,Ba2 Li1 Ni2 O6,-1.488231847121211
mp-1235628,Ba2 Li1 La1 Ir1 O6,-2.5008288639393936
mp-562473,Li2 Sn4 P6 O24,-2.520525023736772
mp-9919,Li2 Zn2 Sb2,-0.4514082088888879
mp-32352,Li2 Ni2 P8 O24,-2.3527737267724853
mp-1235346,Li1 Ag2 C2 N2 O2,-0.4948056818518525
mp-7874,Li2 Ga2 Ge2,-0.2673654902777767
mp-756206,Li4 V4 F16,-3.152972200138889
mp-684506,Li4 Bi4 P16 O48,-2.5329308717724874
mp-1211108,Li2 Gd2 S4 O16,-2.3872741440277774
mp-1035156,Li1 Mg14 Bi1 O16,-2.807630078541666
mp-1110628,Na2 Li1 Y1 F6,-3.4779526001666654
mp-1236742,Li1 Mn2 P4 O14,-2.4131903720365155
mp-540482,Li2 Cr2 P4 O14,-2.503094897283548
mp-754909,Li1 V1 B1 O4,-2.552658946071428
mp-867829,Li1 V1 Rh2,-0.4573600716666668
mp-761207,Li4 Fe8 B8 O24,-2.2664167187878785
mp-1235154,Li1 Ti1 V2 Cr1 O10,-2.344670754777778
mp-772513,Li4 Cr12 O32,-1.861248640694444
mp-865893,Li1 Zr2 Tc1,-0.1781138991666679
mp-759419,Li2 Sb2 P8 O24,-2.4583994139947074
mp-1222306,Li1 Ga1 O2,-2.1437601939583324
mp-1040095,Li1 Mg30 W1 O32,-2.951335813020833
mp-1236358,Li1 Bi2 As2 Pb2 O10,-1.6577912649019604
mp-779073,Li6 Mn6 F18,-2.9936917714195395
mp-1194702,Li4 B4 H36 N12,-0.3515661025892861
mp-1280939,Li2 Cr4 O6,-2.171339330138887
mp-781616,Li4 Mn8 B8 O24,-2.415955042957157
